Year,StateTerritory,GeographicUnit,GeographicCode,GeographicAreaName,GeographicGroup,DemographicGroup,EstimatedResidentPopulation
2017-18,Vic,PHN,PHN201,North Western Melbourne,Metropolitan,45-64,373780
2017-18,Vic,PHN,PHN201,North Western Melbourne,Metropolitan,65-79,144409
2017-18,Vic,PHN,PHN201,North Western Melbourne,Metropolitan,80+,51164
2017-18,Vic,PHN,PHN201,North Western Melbourne,Metropolitan,0-64,1569902
2017-18,Vic,PHN,PHN201,North Western Melbourne,Metropolitan,65+,195573
2017-18,Vic,PHN,PHN201,North Western Melbourne,Metropolitan,All persons,1765475
2017-18,Vic,PHN,PHN201,North Western Melbourne,Metropolitan,Females,887933
2017-18,Vic,PHN,PHN201,North Western Melbourne,Metropolitan,Males,877542
2017-18,Vic,PHN,PHN202,Eastern Melbourne,Metropolitan,0-14,279640
2017-18,Vic,PHN,PHN202,Eastern Melbourne,Metropolitan,15-24,213799
2017-18,Vic,PHN,PHN202,Eastern Melbourne,Metropolitan,25-44,422674
2017-18,Vic,PHN,PHN202,Eastern Melbourne,Metropolitan,45-64,376663
2017-18,Vic,PHN,PHN202,Eastern Melbourne,Metropolitan,65-79,173252
2017-18,Vic,PHN,PHN202,Eastern Melbourne,Metropolitan,80+,65367
2017-18,Vic,PHN,PHN202,Eastern Melbourne,Metropolitan,0-64,1292776
2017-18,Vic,PHN,PHN202,Eastern Melbourne,Metropolitan,65+,238619
2017-18,Vic,PHN,PHN202,Eastern Melbourne,Metropolitan,All persons,1531395
2017-18,Vic,PHN,PHN202,Eastern Melbourne,Metropolitan,Females,778330
2017-18,Vic,PHN,PHN202,Eastern Melbourne,Metropolitan,Males,753065
2017-18,Vic,PHN,PHN203,South Eastern Melbourne,Metropolitan,0-14,289115
2017-18,Vic,PHN,PHN203,South Eastern Melbourne,Metropolitan,15-24,195876
2017-18,Vic,PHN,PHN203,South Eastern Melbourne,Metropolitan,25-44,461672
2017-18,Vic,PHN,PHN203,South Eastern Melbourne,Metropolitan,45-64,371592
2017-18,Vic,PHN,PHN203,South Eastern Melbourne,Metropolitan,65-79,167176
2017-18,Vic,PHN,PHN203,South Eastern Melbourne,Metropolitan,80+,61480
2017-18,Vic,PHN,PHN203,South Eastern Melbourne,Metropolitan,0-64,1318255
2017-18,Vic,PHN,PHN203,South Eastern Melbourne,Metropolitan,65+,228656
2017-18,Vic,PHN,PHN203,South Eastern Melbourne,Metropolitan,All persons,1546911
2017-18,Vic,PHN,PHN203,South Eastern Melbourne,Metropolitan,Females,783913
2017-18,Vic,PHN,PHN203,South Eastern Melbourne,Metropolitan,Males,762998
2017-18,Vic,PHN,PHN204,Gippsland,Regional,0-14,50530
2017-18,Vic,PHN,PHN204,Gippsland,Regional,15-24,30604
2017-18,Vic,PHN,PHN204,Gippsland,Regional,25-44,60671
2017-18,Vic,PHN,PHN204,Gippsland,Regional,45-64,76231
2017-18,Vic,PHN,PHN204,Gippsland,Regional,65-79,46925
2017-18,Vic,PHN,PHN204,Gippsland,Regional,80+,14389
2017-18,Vic,PHN,PHN204,Gippsland,Regional,0-64,218036
2017-18,Vic,PHN,PHN204,Gippsland,Regional,65+,61314
2017-18,Vic,PHN,PHN204,Gippsland,Regional,All persons,279350
2017-18,Vic,PHN,PHN204,Gippsland,Regional,Females,141059
2017-18,Vic,PHN,PHN204,Gippsland,Regional,Males,138291
2017-18,Vic/NSW,PHN,PHN205,Murray,Regional,0-14,114788
2017-18,Vic/NSW,PHN,PHN205,Murray,Regional,15-24,73921
2017-18,Vic/NSW,PHN,PHN205,Murray,Regional,25-44,139526
2017-18,Vic/NSW,PHN,PHN205,Murray,Regional,45-64,162328
2017-18,Vic/NSW,PHN,PHN205,Murray,Regional,65-79,89493
2017-18,Vic/NSW,PHN,PHN205,Murray,Regional,80+,30958
2017-18,Vic/NSW,PHN,PHN205,Murray,Regional,0-64,490563
2017-18,Vic/NSW,PHN,PHN205,Murray,Regional,65+,120451
2017-18,Vic/NSW,PHN,PHN205,Murray,Regional,All persons,611014
2017-18,Vic/NSW,PHN,PHN205,Murray,Regional,Females,307615
2017-18,Vic/NSW,PHN,PHN205,Murray,Regional,Males,303399
2017-18,Vic,PHN,PHN206,Western Victoria,Regional,0-14,118804
2017-18,Vic,PHN,PHN206,Western Victoria,Regional,15-24,79098
2017-18,Vic,PHN,PHN206,Western Victoria,Regional,25-44,152230
2017-18,Vic,PHN,PHN206,Western Victoria,Regional,45-64,167808
2017-18,Vic,PHN,PHN206,Western Victoria,Regional,65-79,90583
2017-18,Vic,PHN,PHN206,Western Victoria,Regional,80+,31878
2017-18,Vic,PHN,PHN206,Western Victoria,Regional,0-64,517940
2017-18,Vic,PHN,PHN206,Western Victoria,Regional,65+,122461
2017-18,Vic,PHN,PHN206,Western Victoria,Regional,All persons,640401
2017-18,Vic,PHN,PHN206,Western Victoria,Regional,Females,324037
2017-18,Vic,PHN,PHN206,Western Victoria,Regional,Males,316364
2017-18,Qld,PHN,PHN301,Brisbane North,Metropolitan,0-14,187455
2017-18,Qld,PHN,PHN301,Brisbane North,Metropolitan,15-24,144553
2017-18,Qld,PHN,PHN301,Brisbane North,Metropolitan,25-44,295852
2017-18,Qld,PHN,PHN301,Brisbane North,Metropolitan,45-64,235482
2017-18,Qld,PHN,PHN301,Brisbane North,Metropolitan,65-79,105941
2017-18,Qld,PHN,PHN301,Brisbane North,Metropolitan,80+,34191
2017-18,Qld,PHN,PHN301,Brisbane North,Metropolitan,0-64,863342
2017-18,Qld,PHN,PHN301,Brisbane North,Metropolitan,65+,140132
2017-18,Qld,PHN,PHN301,Brisbane North,Metropolitan,All persons,1003474
2017-18,Qld,PHN,PHN301,Brisbane North,Metropolitan,Females,508262
2017-18,Qld,PHN,PHN301,Brisbane North,Metropolitan,Males,495212
2017-18,Qld,PHN,PHN302,Brisbane South,Metropolitan,0-14,227002
2017-18,Qld,PHN,PHN302,Brisbane South,Metropolitan,15-24,161618
2017-18,Qld,PHN,PHN302,Brisbane South,Metropolitan,25-44,340326
2017-18,Qld,PHN,PHN302,Brisbane South,Metropolitan,45-64,268414
2017-18,Qld,PHN,PHN302,Brisbane South,Metropolitan,65-79,111353
2017-18,Qld,PHN,PHN302,Brisbane South,Metropolitan,80+,34650
2017-18,Qld,PHN,PHN302,Brisbane South,Metropolitan,0-64,997360
2017-18,Qld,PHN,PHN302,Brisbane South,Metropolitan,65+,146003
2017-18,Qld,PHN,PHN302,Brisbane South,Metropolitan,All persons,1143363
2017-18,Qld,PHN,PHN302,Brisbane South,Metropolitan,Females,576709
2017-18,Qld,PHN,PHN302,Brisbane South,Metropolitan,Males,566654
2017-18,Qld,PHN,PHN303,Gold Coast,Metropolitan,0-14,111133
2017-18,Qld,PHN,PHN303,Gold Coast,Metropolitan,15-24,79267
2017-18,Qld,PHN,PHN303,Gold Coast,Metropolitan,25-44,167318
2017-18,Qld,PHN,PHN303,Gold Coast,Metropolitan,45-64,150300
2017-18,Qld,PHN,PHN303,Gold Coast,Metropolitan,65-79,74491
2017-18,Qld,PHN,PHN303,Gold Coast,Metropolitan,80+,23666
2017-18,Qld,PHN,PHN303,Gold Coast,Metropolitan,0-64,508018
2017-18,Qld,PHN,PHN303,Gold Coast,Metropolitan,65+,98157
2017-18,Qld,PHN,PHN303,Gold Coast,Metropolitan,All persons,606175
2017-18,Qld,PHN,PHN303,Gold Coast,Metropolitan,Females,310359
2017-18,Qld,PHN,PHN303,Gold Coast,Metropolitan,Males,295816
2017-18,Qld,PHN,PHN304,Darling Downs and West Moreton,Regional,0-14,123188
2017-18,Qld,PHN,PHN304,Darling Downs and West Moreton,Regional,15-24,74477
2017-18,Qld,PHN,PHN304,Darling Downs and West Moreton,Regional,25-44,145292
2017-18,Qld,PHN,PHN304,Darling Downs and West Moreton,Regional,45-64,137598
2017-18,Qld,PHN,PHN304,Darling Downs and West Moreton,Regional,65-79,67137
2017-18,Qld,PHN,PHN304,Darling Downs and West Moreton,Regional,80+,20252
2017-18,Qld,PHN,PHN304,Darling Downs and West Moreton,Regional,0-64,480555
2017-18,Qld,PHN,PHN304,Darling Downs and West Moreton,Regional,65+,87389
2017-18,Qld,PHN,PHN304,Darling Downs and West Moreton,Regional,All persons,567944
2017-18,Qld,PHN,PHN304,Darling Downs and West Moreton,Regional,Females,285979
2017-18,Qld,PHN,PHN304,Darling Downs and West Moreton,Regional,Males,281965
2017-18,Qld,PHN,PHN305,Western Queensland,Regional,0-14,14143
2017-18,Qld,PHN,PHN305,Western Queensland,Regional,15-24,7410
2017-18,Qld,PHN,PHN305,Western Queensland,Regional,25-44,17844
2017-18,Qld,PHN,PHN305,Western Queensland,Regional,45-64,15981
2017-18,Qld,PHN,PHN305,Western Queensland,Regional,65-79,6051
2017-18,Qld,PHN,PHN305,Western Queensland,Regional,80+,1569
2017-18,Qld,PHN,PHN305,Western Queensland,Regional,0-64,55378
2017-18,Qld,PHN,PHN305,Western Queensland,Regional,65+,7620
2017-18,Qld,PHN,PHN305,Western Queensland,Regional,All persons,62998
2017-18,Qld,PHN,PHN305,Western Queensland,Regional,Females,30462
2017-18,Qld,PHN,PHN305,Western Queensland,Regional,Males,32536
2017-18,Qld,PHN,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",Regional,0-14,161293
2017-18,Qld,PHN,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",Regional,15-24,96911
2017-18,Qld,PHN,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",Regional,25-44,195654
2017-18,Qld,PHN,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",Regional,45-64,229366
2017-18,Qld,PHN,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",Regional,65-79,128630
2017-18,Qld,PHN,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",Regional,80+,38875
2017-18,Qld,PHN,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",Regional,0-64,683224
2017-18,Qld,PHN,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",Regional,65+,167505
2017-18,Qld,PHN,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",Regional,All persons,850729
2017-18,Qld,PHN,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",Regional,Females,430425
2017-18,Qld,PHN,PHN306,"Central Queensland, Wide Bay, Sunshine Coast",Regional,Males,420304
2017-18,Qld,PHN,PHN307,Northern Queensland,Regional,0-14,142812
2017-18,Qld,PHN,PHN307,Northern Queensland,Regional,15-24,90296
2017-18,Qld,PHN,PHN307,Northern Queensland,Regional,25-44,187707
2017-18,Qld,PHN,PHN307,Northern Queensland,Regional,45-64,179038
2017-18,Qld,PHN,PHN307,Northern Queensland,Regional,65-79,74749
2017-18,Qld,PHN,PHN307,Northern Queensland,Regional,80+,19867
2017-18,Qld,PHN,PHN307,Northern Queensland,Regional,0-64,599853
2017-18,Qld,PHN,PHN307,Northern Queensland,Regional,65+,94616
2017-18,Qld,PHN,PHN307,Northern Queensland,Regional,All persons,694469
2017-18,Qld,PHN,PHN307,Northern Queensland,Regional,Females,344092
2017-18,Qld,PHN,PHN307,Northern Queensland,Regional,Males,350377
2017-18,SA,PHN,PHN401,Adelaide,Metropolitan,0-14,214592
2017-18,SA,PHN,PHN401,Adelaide,Metropolitan,15-24,162746
2017-18,SA,PHN,PHN401,Adelaide,Metropolitan,25-44,334270
2017-18,SA,PHN,PHN401,Adelaide,Metropolitan,45-64,303820
2017-18,SA,PHN,PHN401,Adelaide,Metropolitan,65-79,149400
2017-18,SA,PHN,PHN401,Adelaide,Metropolitan,80+,59392
2017-18,SA,PHN,PHN401,Adelaide,Metropolitan,0-64,1015428
2017-18,SA,PHN,PHN401,Adelaide,Metropolitan,65+,208792
2017-18,SA,PHN,PHN401,Adelaide,Metropolitan,All persons,1224220
2017-18,SA,PHN,PHN401,Adelaide,Metropolitan,Females,622851
2017-18,SA,PHN,PHN401,Adelaide,Metropolitan,Males,601369
2017-18,SA,PHN,PHN402,Country SA,Regional,0-14,91366
2017-18,SA,PHN,PHN402,Country SA,Regional,15-24,55979
2017-18,SA,PHN,PHN402,Country SA,Regional,25-44,109312
2017-18,SA,PHN,PHN402,Country SA,Regional,45-64,140310
2017-18,SA,PHN,PHN402,Country SA,Regional,65-79,77974
2017-18,SA,PHN,PHN402,Country SA,Regional,80+,24510
2017-18,SA,PHN,PHN402,Country SA,Regional,0-64,396967
2017-18,SA,PHN,PHN402,Country SA,Regional,65+,102484
2017-18,SA,PHN,PHN402,Country SA,Regional,All persons,499451
2017-18,SA,PHN,PHN402,Country SA,Regional,Females,249161
2017-18,SA,PHN,PHN402,Country SA,Regional,Males,250290
2017-18,WA,PHN,PHN501,Perth North,Metropolitan,0-14,201428
2017-18,WA,PHN,PHN501,Perth North,Metropolitan,15-24,137174
2017-18,WA,PHN,PHN501,Perth North,Metropolitan,25-44,319603
2017-18,WA,PHN,PHN501,Perth North,Metropolitan,45-64,259467
2017-18,WA,PHN,PHN501,Perth North,Metropolitan,65-79,109120
2017-18,WA,PHN,PHN501,Perth North,Metropolitan,80+,35829
2017-18,WA,PHN,PHN501,Perth North,Metropolitan,0-64,917672
2017-18,WA,PHN,PHN501,Perth North,Metropolitan,65+,144949
2017-18,WA,PHN,PHN501,Perth North,Metropolitan,All persons,1062621
2017-18,WA,PHN,PHN501,Perth North,Metropolitan,Females,534078
2017-18,WA,PHN,PHN501,Perth North,Metropolitan,Males,528543
2017-18,WA,PHN,PHN502,Perth South,Metropolitan,0-14,191742
2017-18,WA,PHN,PHN502,Perth South,Metropolitan,15-24,130249
2017-18,WA,PHN,PHN502,Perth South,Metropolitan,25-44,291127
2017-18,WA,PHN,PHN502,Perth South,Metropolitan,45-64,232171
2017-18,WA,PHN,PHN502,Perth South,Metropolitan,65-79,103703
2017-18,WA,PHN,PHN502,Perth South,Metropolitan,80+,34795
2017-18,WA,PHN,PHN502,Perth South,Metropolitan,0-64,845289
2017-18,WA,PHN,PHN502,Perth South,Metropolitan,65+,138498
2017-18,WA,PHN,PHN502,Perth South,Metropolitan,All persons,983787
2017-18,WA,PHN,PHN502,Perth South,Metropolitan,Females,492527
2017-18,WA,PHN,PHN502,Perth South,Metropolitan,Males,491260
2017-18,WA,PHN,PHN503,Country WA,Regional,0-14,109493
2017-18,WA,PHN,PHN503,Country WA,Regional,15-24,57665
2017-18,WA,PHN,PHN503,Country WA,Regional,25-44,144735
2017-18,WA,PHN,PHN503,Country WA,Regional,45-64,142810
2017-18,WA,PHN,PHN503,Country WA,Regional,65-79,60778
2017-18,WA,PHN,PHN503,Country WA,Regional,80+,16032
2017-18,WA,PHN,PHN503,Country WA,Regional,0-64,454703
2017-18,WA,PHN,PHN503,Country WA,Regional,65+,76810
2017-18,WA,PHN,PHN503,Country WA,Regional,All persons,531513
2017-18,WA,PHN,PHN503,Country WA,Regional,Females,260082
2017-18,WA,PHN,PHN503,Country WA,Regional,Males,271431
2017-18,Tas,PHN,PHN601,Tasmania,Regional,0-14,93349
2017-18,Tas,PHN,PHN601,Tasmania,Regional,15-24,63481
2017-18,Tas,PHN,PHN601,Tasmania,Regional,25-44,121933
2017-18,Tas,PHN,PHN601,Tasmania,Regional,45-64,142701
2017-18,Tas,PHN,PHN601,Tasmania,Regional,65-79,76803
2017-18,Tas,PHN,PHN601,Tasmania,Regional,80+,23885
2017-18,Tas,PHN,PHN601,Tasmania,Regional,0-64,421464
2017-18,Tas,PHN,PHN601,Tasmania,Regional,65+,100688
2017-18,Tas,PHN,PHN601,Tasmania,Regional,All persons,522152
2017-18,Tas,PHN,PHN601,Tasmania,Regional,Females,263689
2017-18,Tas,PHN,PHN601,Tasmania,Regional,Males,258463
2017-18,NT,PHN,PHN701,Northern Territory,Regional,0-14,53858
2017-18,NT,PHN,PHN701,Northern Territory,Regional,15-24,32925
2017-18,NT,PHN,PHN701,Northern Territory,Regional,25-44,85201
2017-18,NT,PHN,PHN701,Northern Territory,Regional,45-64,57698
2017-18,NT,PHN,PHN701,Northern Territory,Regional,65-79,15448
2017-18,NT,PHN,PHN701,Northern Territory,Regional,80+,2361
2017-18,NT,PHN,PHN701,Northern Territory,Regional,0-64,229682
2017-18,NT,PHN,PHN701,Northern Territory,Regional,65+,17809
2017-18,NT,PHN,PHN701,Northern Territory,Regional,All persons,247491
2017-18,NT,PHN,PHN701,Northern Territory,Regional,Females,118923
2017-18,NT,PHN,PHN701,Northern Territory,Regional,Males,128568
2017-18,ACT,PHN,PHN801,Australian Capital Territory,Metropolitan,0-14,78142
2017-18,ACT,PHN,PHN801,Australian Capital Territory,Metropolitan,15-24,58273
2017-18,ACT,PHN,PHN801,Australian Capital Territory,Metropolitan,25-44,129460
2017-18,ACT,PHN,PHN801,Australian Capital Territory,Metropolitan,45-64,94168
2017-18,ACT,PHN,PHN801,Australian Capital Territory,Metropolitan,65-79,39426
2017-18,ACT,PHN,PHN801,Australian Capital Territory,Metropolitan,80+,12198
2017-18,ACT,PHN,PHN801,Australian Capital Territory,Metropolitan,0-64,360043
2017-18,ACT,PHN,PHN801,Australian Capital Territory,Metropolitan,65+,51624
2017-18,ACT,PHN,PHN801,Australian Capital Territory,Metropolitan,All persons,411667
2017-18,ACT,PHN,PHN801,Australian Capital Territory,Metropolitan,Females,207881
2017-18,ACT,PHN,PHN801,Australian Capital Territory,Metropolitan,Males,203786
2018-19,NAT,NAT,001NAT,National,National,0-14,4702400
2018-19,NAT,NAT,001NAT,National,National,15-24,3230984
2018-19,NAT,NAT,001NAT,National,National,25-44,7056136
2018-19,NAT,NAT,001NAT,National,National,45-64,6088667
2018-19,NAT,NAT,001NAT,National,National,65-79,2925337
2018-19,NAT,NAT,001NAT,National,National,80+,989336
2018-19,NAT,NAT,001NAT,National,National,0-64,21078187
2018-19,NAT,NAT,001NAT,National,National,65+,3914673
2018-19,NAT,NAT,001NAT,National,National,All persons,24992860
2018-19,NAT,NAT,001NAT,National,National,Females,12595459
2018-19,NAT,NAT,001NAT,National,National,Males,12397401
2018-19,,PHN,003MET,Metropolitan,Metropolitan,0-14,3064530
2018-19,,PHN,003MET,Metropolitan,Metropolitan,15-24,2217480
2018-19,,PHN,003MET,Metropolitan,Metropolitan,25-44,5010413
2018-19,,PHN,003MET,Metropolitan,Metropolitan,45-64,3849048
2018-19,,PHN,003MET,Metropolitan,Metropolitan,65-79,1714557
2018-19,,PHN,003MET,Metropolitan,Metropolitan,80+,602003
2018-19,,PHN,003MET,Metropolitan,Metropolitan,0-64,14141471
2018-19,,PHN,003MET,Metropolitan,Metropolitan,65+,2316560
2018-19,,PHN,003MET,Metropolitan,Metropolitan,All persons,16458031
2018-19,,PHN,003MET,Metropolitan,Metropolitan,Females,8306937
2018-19,,PHN,003MET,Metropolitan,Metropolitan,Males,8151094
2018-19,,PHN,003REG,Regional,Regional,0-14,1637870
2018-19,,PHN,003REG,Regional,Regional,15-24,1013504
2018-19,,PHN,003REG,Regional,Regional,25-44,2045723
2018-19,,PHN,003REG,Regional,Regional,45-64,2239619
2018-19,,PHN,003REG,Regional,Regional,65-79,1210780
2018-19,,PHN,003REG,Regional,Regional,80+,387333
2018-19,,PHN,003REG,Regional,Regional,0-64,6936716
2018-19,,PHN,003REG,Regional,Regional,65+,1598113
2018-19,,PHN,003REG,Regional,Regional,All persons,8534829
2018-19,,PHN,003REG,Regional,Regional,Females,4288522
2018-19,,PHN,003REG,Regional,Regional,Males,4246307
2018-19,NSW,PHN,PHN101,Central and Eastern Sydney,Metropolitan,0-14,246487
2018-19,NSW,PHN,PHN101,Central and Eastern Sydney,Metropolitan,15-24,224831
2018-19,NSW,PHN,PHN101,Central and Eastern Sydney,Metropolitan,25-44,579487
2018-19,NSW,PHN,PHN101,Central and Eastern Sydney,Metropolitan,45-64,360075
2018-19,NSW,PHN,PHN101,Central and Eastern Sydney,Metropolitan,65-79,158230
2018-19,NSW,PHN,PHN101,Central and Eastern Sydney,Metropolitan,80+,62265
2018-19,NSW,PHN,PHN101,Central and Eastern Sydney,Metropolitan,0-64,1410880
2018-19,NSW,PHN,PHN101,Central and Eastern Sydney,Metropolitan,65+,220495
2018-19,NSW,PHN,PHN101,Central and Eastern Sydney,Metropolitan,All persons,1631375
2018-19,NSW,PHN,PHN101,Central and Eastern Sydney,Metropolitan,Females,818053
2018-19,NSW,PHN,PHN101,Central and Eastern Sydney,Metropolitan,Males,813322
2018-19,NSW,PHN,PHN102,Northern Sydney,Metropolitan,0-14,173639
2018-19,NSW,PHN,PHN102,Northern Sydney,Metropolitan,15-24,114693
2018-19,NSW,PHN,PHN102,Northern Sydney,Metropolitan,25-44,269498
2018-19,NSW,PHN,PHN102,Northern Sydney,Metropolitan,45-64,233138
2018-19,NSW,PHN,PHN102,Northern Sydney,Metropolitan,65-79,105251
2018-19,NSW,PHN,PHN102,Northern Sydney,Metropolitan,80+,43904
2018-19,NSW,PHN,PHN102,Northern Sydney,Metropolitan,0-64,790968
2018-19,NSW,PHN,PHN102,Northern Sydney,Metropolitan,65+,149155
2018-19,NSW,PHN,PHN102,Northern Sydney,Metropolitan,All persons,940123
2018-19,NSW,PHN,PHN102,Northern Sydney,Metropolitan,Females,480634
2018-19,NSW,PHN,PHN102,Northern Sydney,Metropolitan,Males,459489
2018-19,NSW,PHN,PHN103,Western Sydney,Metropolitan,0-14,211436
2018-19,NSW,PHN,PHN103,Western Sydney,Metropolitan,15-24,131902
2018-19,NSW,PHN,PHN103,Western Sydney,Metropolitan,25-44,327453
2018-19,NSW,PHN,PHN103,Western Sydney,Metropolitan,45-64,217284
2018-19,NSW,PHN,PHN103,Western Sydney,Metropolitan,65-79,87783
2018-19,NSW,PHN,PHN103,Western Sydney,Metropolitan,80+,26477
2018-19,NSW,PHN,PHN103,Western Sydney,Metropolitan,0-64,888075
2018-19,NSW,PHN,PHN103,Western Sydney,Metropolitan,65+,114260
2018-19,NSW,PHN,PHN103,Western Sydney,Metropolitan,All persons,1002335
2018-19,NSW,PHN,PHN103,Western Sydney,Metropolitan,Females,495109
2018-19,NSW,PHN,PHN103,Western Sydney,Metropolitan,Males,507226
2018-19,NSW,PHN,PHN104,Nepean Blue Mountains,Metropolitan,0-14,76542
2018-19,NSW,PHN,PHN104,Nepean Blue Mountains,Metropolitan,15-24,49431
2018-19,NSW,PHN,PHN104,Nepean Blue Mountains,Metropolitan,25-44,101952
2018-19,NSW,PHN,PHN104,Nepean Blue Mountains,Metropolitan,45-64,94439
2018-19,NSW,PHN,PHN104,Nepean Blue Mountains,Metropolitan,65-79,43493
2018-19,NSW,PHN,PHN104,Nepean Blue Mountains,Metropolitan,80+,11393
2018-19,NSW,PHN,PHN104,Nepean Blue Mountains,Metropolitan,0-64,322364
2018-19,NSW,PHN,PHN104,Nepean Blue Mountains,Metropolitan,65+,54886
2018-19,NSW,PHN,PHN104,Nepean Blue Mountains,Metropolitan,All persons,377250
2018-19,NSW,PHN,PHN104,Nepean Blue Mountains,Metropolitan,Females,190161
2018-19,NSW,PHN,PHN104,Nepean Blue Mountains,Metropolitan,Males,187089
2018-19,NSW,PHN,PHN105,South Western Sydney,Metropolitan,0-14,216046
2018-19,NSW,PHN,PHN105,South Western Sydney,Metropolitan,15-24,142723
2018-19,NSW,PHN,PHN105,South Western Sydney,Metropolitan,25-44,282592
2018-19,NSW,PHN,PHN105,South Western Sydney,Metropolitan,45-64,238020
2018-19,NSW,PHN,PHN105,South Western Sydney,Metropolitan,65-79,99846
2018-19,NSW,PHN,PHN105,South Western Sydney,Metropolitan,80+,32068
2018-19,NSW,PHN,PHN105,South Western Sydney,Metropolitan,0-64,879381
2018-19,NSW,PHN,PHN105,South Western Sydney,Metropolitan,65+,131914
2018-19,NSW,PHN,PHN105,South Western Sydney,Metropolitan,All persons,1011295
2018-19,NSW,PHN,PHN105,South Western Sydney,Metropolitan,Females,509241
2018-19,NSW,PHN,PHN105,South Western Sydney,Metropolitan,Males,502054
2018-19,NSW,PHN,PHN106,South Eastern NSW,Regional,0-14,112869
2018-19,NSW,PHN,PHN106,South Eastern NSW,Regional,15-24,76030
2018-19,NSW,PHN,PHN106,South Eastern NSW,Regional,25-44,146073
2018-19,NSW,PHN,PHN106,South Eastern NSW,Regional,45-64,165534
2018-19,NSW,PHN,PHN106,South Eastern NSW,Regional,65-79,93170
2018-19,NSW,PHN,PHN106,South Eastern NSW,Regional,80+,31419
2018-19,NSW,PHN,PHN106,South Eastern NSW,Regional,0-64,500506
2018-19,NSW,PHN,PHN106,South Eastern NSW,Regional,65+,124589
2018-19,NSW,PHN,PHN106,South Eastern NSW,Regional,All persons,625095
2018-19,NSW,PHN,PHN106,South Eastern NSW,Regional,Females,314206
2018-19,NSW,PHN,PHN106,South Eastern NSW,Regional,Males,310889
2018-19,NSW,PHN,PHN107,Western NSW,Regional,0-14,63725
2018-19,NSW,PHN,PHN107,Western NSW,Regional,15-24,37042
2018-19,NSW,PHN,PHN107,Western NSW,Regional,25-44,72364
2018-19,NSW,PHN,PHN107,Western NSW,Regional,45-64,78962
2018-19,NSW,PHN,PHN107,Western NSW,Regional,65-79,43071
2018-19,NSW,PHN,PHN107,Western NSW,Regional,80+,14865
2018-19,NSW,PHN,PHN107,Western NSW,Regional,0-64,252093
2018-19,NSW,PHN,PHN107,Western NSW,Regional,65+,57936
2018-19,NSW,PHN,PHN107,Western NSW,Regional,All persons,310029
2018-19,NSW,PHN,PHN107,Western NSW,Regional,Females,155226
2018-19,NSW,PHN,PHN107,Western NSW,Regional,Males,154803
2018-19,NSW,PHN,PHN108,Hunter New England and Central Coast,Regional,0-14,241470
2018-19,NSW,PHN,PHN108,Hunter New England and Central Coast,Regional,15-24,154681
2018-19,NSW,PHN,PHN108,Hunter New England and Central Coast,Regional,25-44,300146
2018-19,NSW,PHN,PHN108,Hunter New England and Central Coast,Regional,45-64,324012
2018-19,NSW,PHN,PHN108,Hunter New England and Central Coast,Regional,65-79,184496
2018-19,NSW,PHN,PHN108,Hunter New England and Central Coast,Regional,80+,64596
2018-19,NSW,PHN,PHN108,Hunter New England and Central Coast,Regional,0-64,1020309
2018-19,NSW,PHN,PHN108,Hunter New England and Central Coast,Regional,65+,249092
2018-19,NSW,PHN,PHN108,Hunter New England and Central Coast,Regional,All persons,1269401
2018-19,NSW,PHN,PHN108,Hunter New England and Central Coast,Regional,Females,644065
2018-19,NSW,PHN,PHN108,Hunter New England and Central Coast,Regional,Males,625336
2018-19,NSW,PHN,PHN109,North Coast,Regional,0-14,92291
2018-19,NSW,PHN,PHN109,North Coast,Regional,15-24,54523
2018-19,NSW,PHN,PHN109,North Coast,Regional,25-44,106086
2018-19,NSW,PHN,PHN109,North Coast,Regional,45-64,147270
2018-19,NSW,PHN,PHN109,North Coast,Regional,65-79,92053
2018-19,NSW,PHN,PHN109,North Coast,Regional,80+,32864
2018-19,NSW,PHN,PHN109,North Coast,Regional,0-64,400170
2018-19,NSW,PHN,PHN109,North Coast,Regional,65+,124917
2018-19,NSW,PHN,PHN109,North Coast,Regional,All persons,525087
2018-19,NSW,PHN,PHN109,North Coast,Regional,Females,268595
2018-19,NSW,PHN,PHN109,North Coast,Regional,Males,256492
2018-19,NSW,PHN,PHN110,Murrumbidgee,Regional,0-14,48784
2018-19,NSW,PHN,PHN110,Murrumbidgee,Regional,15-24,29400
2018-19,NSW,PHN,PHN110,Murrumbidgee,Regional,25-44,55470
2018-19,NSW,PHN,PHN110,Murrumbidgee,Regional,45-64,62292
2018-19,NSW,PHN,PHN110,Murrumbidgee,Regional,65-79,35933
2018-19,NSW,PHN,PHN110,Murrumbidgee,Regional,80+,12814
2018-19,NSW,PHN,PHN110,Murrumbidgee,Regional,0-64,195946
2018-19,NSW,PHN,PHN110,Murrumbidgee,Regional,65+,48747
2018-19,NSW,PHN,PHN110,Murrumbidgee,Regional,All persons,244693
